beer_number,beer_name,brewer,brewery_wikidata_id,abv,beer_style,vegan,gluten_free,description
22,Escape Goat,DEYA Brewing Company,Q135551754,4.0%,Pale Ale,y,,"Aroma of tropical fruit and lime, with orange, lychee and sweet cereal on the mid palate. Clean firm bitterness."
23,Fake News,paradigm brewery,Q98075011,3.8%,Pale Ale,,,"Session pale ale for the post truth ""citrus"" generation."
24,Fanny Ebbs,Tring Brewery Co.,Q7842351,3.9%,Summer Ale,,,Blonde coloured summer ale with citrus hop aroma.
25,Featherstone,Hornes Brewery,Q97666414,3.6%,Amber,y,y,Crystal and Cascade hops in the boil and dry hopped with even more Cascade give this beer a fruity punch.
26,Fortitude,Bristol Beer Factory,Q107716330,4.0%,Amber Ale,y,y,"Perfectly balanced, loving crafted English Bitter."
27,Four,XT Brewing Co.,Q39053843,3.8%,Amber,,,Special Belgian malt and a fruity mix of American and European hops.
28,Freeman Street,Thornbridge,Q7796317,6.0%,IPA,,,"Hop forward with citrus and pine, bitterness is balanced with caramel sweetness."
29,Froot Jooce,Nuttycombe,,4.0%,Pale Ale,,,"A pale, hoppy and frooty summer ale."
30,Future You,Verdant Brewing Co.,Q113829344,4.5%,Pale Ale,y,,"West Coast Pale - expect pine, tropical notes and a decent bitter finish."
31,Fuzzy,Cloudwater,Q104869040,4.2%,Pale Ale,y,,"Soft, pillowy, hazy pale from Manchester's finest."
32,Gold,The Five Points Brewing Company,Q98071243,3.4%,Golden Ale,,,"Fruity aroma, gives way to an earthy bitter finish. Classic cask Golden Ale."
33,Golden Best,Timothy Taylor's,Q7807560,3.5%,Mild,,,"A crisp, amber coloured beer that makes a refreshing session ale."
34,Good Day Sunshine,Vale Brewery,Q98072911,4.0%,Summer Ale,,,"Light in colour and taste, simply refreshing for summer."
35,Good Old Boy,Renegade Brewery,Q7984464,4.0%,Best Bitter,y,,"Bramling Cross and Northdown hops make for a well balanced, full flavoured beer."
36,Gulp Shake,Tiny Rebel,Q27136461,4.1%,IPA,,,Milkshake IPA using Simcoe and Mosaic Hops for a citrussy smooth flavour (contains lactose).
37,Hangar 17,Oakham,Q7073885,4.1%,Amber Ale,,,A rich malty amber beer with aromas of tangerine and tangy citrus with a hint of orange peel.
38,Hatchet,Buxton,Q98118486,3.4%,IPA,,,A pleasing bitterness to finish and is relentlessly hoppy up front.
39,Honey Trap,Kelchner Brewery,Q127687141,4.8%,Honey,,,"Brewed with gallons of local honey complemented by a generous portion of malt, wheat, hops, orange and spices."
40,Hop Kitty,XT Brewing Co.,Q39053843,3.9%,Pale Ale,,,Bursting with intense tropical and citrus flavours with toasted malt sweetness.
41,India Pale Ale,Allsopp’s,Q7410755,5.0%,IPA,,,A faithfull recreation of Samuel Allsopp’s 200 yr old Burton IPA.
42,Jaipur DDH,Thornbridge,Q7796317,5.9%,IPA,,,"Same recipe as the classic Jaipur , but double dry hopped for a more punchy tropical fruit character."
43,John Hampden,The Chiltern Brewery,Q97661391,4.8%,Harvest Ale,,,"Quality malt, with the aromatic fruitiness of a single English hop for balance."
44,Juicy,Tiny Rebel,Q27136461,4.8%,Golden Ale,,,"Brewed with hop varieties to give a juicy, tropical flavour and aroma."
45,Kaleidoscope,Wiper and True,Q27067400,4.2%,Pale Ale,y,,"Citra, Simcoe and Mosaic create a kaleidoscope of bright citrus and fruit flavours, with a gentle, clean bitterness."
46,Lord Summerale,Verdant Brewing Co.,Q113829344,3.8%,Pale Ale,,,
47,Kodiak,Mad Squirrel,Q98074829,4.7%,American Brown,,,Full-bodied brown ale with a twist - tropical fruit flavours from American hops.
48,Long Ferry,Iron Pier,Q115766002,3.9%,Golden Ale,,,"Perfectly balanced, toffee malt and fresh hop character."
49,Macaroni Ted,Ossett / Elusive (collab),,5.2%,WCIPA,,,"West Coast-style IPA, showcasing modern American hop varieties including Columbus, Citra, Simcoe and Talus."
50,Maharaja,Renegade Brewery,Q7984464,5.1%,IPA,,,"Full bodied, New World hopped IPA, tropical fruit flavours full on bitterness, earthy finish."
51,Mansion Mild,Tring Brewery Co.,Q7842351,3.7%,Mild,,,"Classic ruby dark mild, smooth like velvet, sweet and creamy."
52,Memento,Siren Craft Brew,Q97726156,3.8%,Best Bitter,,,"Grassy and herbal notes from English hops, boosted by Cascade in the dry hop."
53,Mister Chubbs,Renegade Brewery,Q7984464,3.7%,Bitter,,,"Citrus hop aroma and smooth palate, balance finish using Target and Celeia hops."
54,Mister Squirrel,Mad Squirrel,Q98074829,4.0%,Bitter,,,"Balanced and respectable brew with notes of toffee, vanilla and nuts."
55,Mosaic,Neptune Brewery,Q135551664,4.5%,Pale Ale,,,"Single hopped pale with Mosaic. Juicy flavours of tropical fruits, blueberries and papaya."
56,Mosaic,Arbor,Q97665078,4.0%,Pale Ale,,y,
57,Old Skool,Kent Brewery,Q98103562,4.1%,Best Bitter,,,"A traditional style English bitter, as hoppy as it used to be."
58,Once Forgotten,Track,Q135533570,4.4%,Amber,,,"Malt character of caramel and lightly toasted biscuits shine through a light body, with gentle notes of pine and light citrus fruits."
59,Ordinary,Anspach & Hobday,Q98222607,3.7%,Bitter,,,"Pine, spice and dark fruit aromas, with smooth caramel, biscuit on the palate."
60,Pacific Pale,Left Handed Giant,,4.5%,Pale Ale,,,"Complex hop bill including Idaho-7 and Galaxy, summer berries and tropical."
61,Railway Porter,The Five Points Brewing Company,Q98071243,4.8%,Porter,,,"Classic London Porter, smooth and robust with roasted malt notes of coffee and chocolate."
62,Reality Trip,Anarchy Brew Co.,Q98070202,5.2%,IPA,,,English style IPA.
63,Red Kite,Vale Brewery,Q98072911,4.3%,Best Bitter,,,Rich malt flavours make this a rounded chestnut best bitter.
64,Reject All Cookies,DEYA Brewing Company,Q135551754,3.4%,Pale Ale,,,"Pineapple, orange and peach aromas with a light, wheaty body."
65,Reload,Bristol Beer Factory,Q107716330,4.2%,Pale Ale,,,"Mystic and Jester hops give classic blackcurrant and citrus aromas, that sets up for a fruity complex finish."
66,Resolution,Mad Squirrel,Q98074829,4.2%,Golden Ale,,,Resolution is late hopped with three American hop varieties for maximum flavour.
67,Right to Roam,Buxton,Q98118486,3.8%,Bitter,,,A highly sessionable bitter brewed using English grown hops.
68,Sea of Dreams,Neptune Brewery,Q135551664,4.2%,Pale Ale,,,"A heady mix of mango juiciness, with a marmalade bite, and soft finish."
69,Shine,Oakham,Q7073885,3.7%,Pale Ale,,,"Zesty summer citrus and soft fruit flavours and a gentle, moreish bitterness."
70,Side Pocket for a Toad,Tring Brewery Co.,Q7842351,3.6%,Golden Ale,,,Citrus and floral notes from the best Cascade hops with a crisp dry finish make this Golden Ale a fantastic session beer.
71,Single Origin,Kelchner Brewery,Q127687141,4.1%,Porter,,,"A classic dark and rich Porter, generously infused with single origin coffee beans."
72,Sonoma,Track,Q135533570,3.8%,Pale Ale,,,"Mosaic, Centennial & Citra hops give resinous notes of mandarin, and grapefruit. Crisp & clean finish with a soft bitterness."
73,Special,The 3 Brewers of St.Albans,Q97619412,4.8%,Strong Ale,,,Special English Ale uses chocolate malt to give it a deep copper colour and English hops give the ale a hint of berries.
74,Symposium,Ossett,,5.0%,Pale Ale,,,"NZ-grown Nectaron hops and US Citra to give intense aromas of citrus, peach, pineapple and passion fruit."
75,Triple Goat,Hornes Brewery,Q97666414,3.9%,Pale Ale,,y,"Natural pale ale brewed with malted pale barley, Chinook and New Zealand Southern Cross hops."
76,Tropic Ale,Kent Brewery,Q98103562,4.9%,IPA,,,A mouth-watering taste of the tropics in a hotbed of fruity and citrusy hops.
77,Unlocked,Hornes Brewery,Q97666414,5.0%,IPA,,y,"Crisp IPA with citrus characteristics. Balanced malts, American Cascade and Summit hops."
78,Vale Best,Vale Brewery,Q98072911,3.7%,IPA,,,An English IPA that packs more flavour with a three hop blend to create a real session thirst-quencher.
79,Weightless,Red Willow,,4.2%,Session IPA,,,Pale Ale loaded with Citra and Amarillo hops providing massive amounts of tropical fruit with a clean finish.
80,White Rat,Ossett,,4.0%,Pale Ale,,,"Cascade, Columbus & Amarillo hops produce an intensely aromatic and resinous finish."
81,Win-Win,paradigm brewery,Q98075011,4.2%,Bitter,,,"Balanced best bitter with depth of character. English hops for a subtle bitterness and American hops, the aroma."
82,Wreckless,Red Willow,,4.8%,Pale Ale,,,Pale Ale loaded with Citra and Amarillo hops providing massive amounts of tropical fruit with a clean finish.
83,Yorkshire Blonde,Ossett,,3.9%,Blonde Ale,,,"Full bodied, well-rounded and slightly sweet. Late hopped with Mount Hood."
