beer_number,beer_name,brewer,brewery_wikidata_id,abv,beer_style,vegan,gluten_free,description
24,Featherstone,Hornes Brewery,Q97666414,3.6%,Amber,,y,A touch of Crystal malt with Cascade hops in the boil and dry hopped with more Cascade give this lighter ABV beer a fruity punch.
25,Four,XT Brewing Co.,Q39053843,3.8%,Amber,,,Speciality malts and a fruity mix of American and European hops.
26,Gatekeeper,Buxton Brewery,Q98118486,4.1%,Porter,y,,"Smooth dark porter with roasted malt, coffee and chocolate notes."
27,Glass Mountain,Oakham,Q7073885,4.2%,Cream Ale,,,"Zesty lemon flavours with herbal hints, notes of mint and green tea and a clean moreish bitterness."
28,Glittering Sun,Burnt Mill,,4.0%,Pale Ale,y,,"Bright and juicy pale ale with tropical fruit character and a clean, refreshing finish."
29,Golden,The 3 Brewers of St.Albans,Q97619412,3.8%,Golden,,,Cascade hops give a subtle citrus flavour while Cara malt gives a light golden colour and a hint of sweetness.
30,Golden Fleece,XT / Animal (collab),Q39053843,4.3%,Golden,,,"Brewers Gold, First Gold & Goldings giving Orange, spice & blackcurrant notes."
31,Hop Kitty,XT Brewing Co.,Q39053843,3.9%,Pale,,,Huge on Citra and Cascade hops. HopKitty is bursting with intense tropical and citrus flavours.
32,HPA,Wye Valley Brewery,Q8039718,3.7%,Bitter,,,"Refreshing pale ale with floral hop aromas, citrus notes and a crisp, dry finish."
33,I Want to be Classified,Courier Brewing,,4.5%,Pale Ale,,,"Fresh, modern pale ale combining juicy hop character with a clean finish."
34,Idaho 7 the Dank,Red Willow,,4.7%,Session IPA,y,,"Resinous and tropical with bold pine, citrus and dank hop character."
35,Jaipur,Thornbridge,Q7796317,5.9%,IPA,,,"Award-winning IPA bursting with citrus fruit, honeyed malt and a long bitter finish."
36,Jumpers for Goalposts,Duration,,4.3%,Summer Ale,,,"Orange marmalade and bright citrus flavours leading into a crisp, refreshing finish."
37,Let There be Light,Buxton Brewery,Q98118486,4.0%,Summer Ale,y,,"Light, crisp golden ale with delicate citrus hops and refreshing drinkability."
38,London Porter,Mad Squirrel,Q98074829,5.0%,Porter,y,,"A Porter that offers notes of coffee, chocolate and a slight smokiness."
39,Lord Marples,Thornbridge,Q7796317,4.0%,Bitter,,,Classic bitter with honey and caramel malt flavours balanced by gentle bitterness.
40,Lumina,Siren Craft Brew,Q97726156,4.2%,Session IPA,y,y,Tropical and citrus-packed session IPA with a soft body and refreshing finish.
41,Mansion Mild,Tring Brewery Co.,Q7842351,3.7%,Mild,,,"Dark mild, smooth like velvet, sweet and creamy."
42,Meor,St Ives,,4.8%,IPA,,,Balanced amber ale offering biscuit malt flavours and a subtle hop finish.
43,Moongazing,Tring Brewery Co.,Q7842351,4.2%,Amber,,,"Bitterness with grapefruit, mango and peach hop character from Chinook and Citra. Rye crystal malt adds additional complexity."
44,Mosaic,Arbor,Q97665078,4.0%,Pale Ale,y,y,"Single-hop pale ale bursting with mango, citrus and tropical fruit aromas from Mosaic hops."
45,Naked Ladies,Twickenham,,4.4%,Golden Ale,,,"Well-balanced golden ale with fresh hop aromas, citrus notes and a crisp finish."
46,Nectar,Kirkstall,,4.1%,Honey Pale Ale,,,"Soft, juicy pale ale packed with tropical fruit and citrus hop flavours."
47,One for the Team,Arbor,Q97665078,4.5%,Session IPA,y,y,"Juicy session IPA packed with Citra, Mosaic, Idaho 7 and Talus delivering bright tropical and citrus flavours."
48,Pale,The Chiltern Brewery,Q97661391,3.7%,Pale,,,"A crisp, refreshing pale ale with bright citrus hops, subtle malt sweetness, and a clean, satisfying finish."
49,Pomelo,Mad Squirrel,Q98074829,4.2%,Pale,y,,"Unfined single hopped Pale, using Citra. Expect grapefruit and lemon."
50,Ridgeway,Tring Brewery Co.,Q7842351,4.0%,Bitter,,,"Balanced aroma and taste. Malt characteristics yield to a dry, fruity hop flavour."
51,Screech Owl,Castle Rock,,5.5%,IPA,,,Rich amber ale combining biscuit malt flavours with a balanced hop bitterness.
52,Session IPA,The Chiltern Brewery,Q97661391,3.4%,Session IPA,,,"A light, easy-drinking IPA bursting with tropical fruit and citrus hop flavours, balanced by a crisp, refreshing finish."
53,Show Me the Money,Tiny Rebel,Q27136461,4.3%,Golden Ale,,,"Bright, hop-forward pale ale with juicy tropical fruit and citrus flavours."
54,Side Pocket for a Toad,Tring Brewery Co.,Q7842351,3.6%,Golden,,,Citrus and floral notes from Cascade hops balanced with a crisp dry finish.
55,Smart Big Fish,Vale Brewery,Q98072911,4.3%,Summer,,,Bright floral hops and a soft malt sweetness make for easy summer drinking.
56,Special,The 3 Brewers of St.Albans,Q97619412,4.8%,Bitter,,,"Chocolate malt gives a deep copper colour, while English hops give a hint of berries."
57,Spring,Beak / Harvey's (collab),,4.5%,Golden Ale,,,"Refreshing golden ale with grapefruit, citrus and soft tropical fruit over a smooth biscuity malt base."
58,Summer Pale Ale Cascade,The Kernel,,5.1%,Pale Ale,,,Clean and refreshing pale ale showcasing Cascade's grapefruit and floral character.
59,Swifty,Jiddler's Tipple,,3.4%,Session IPA,y,y,"Light and refreshing session IPA with lemon, lime, gooseberry and tropical fruit flavours."
60,Tacoma,Kirkstall,,4.5%,IPA,,,"West Coast pale ale combining citrus, pine and refreshing bitterness."
61,The Jump,Woodshedding,,4.1%,Bitter,,,"Soft, fruity pale ale with citrus and tropical flavours."
62,The Wangdoodle,Buxton Brewery,Q98118486,4.2%,Bitter,,,"American brown ale with pine, spice and red berry aromas balanced by gentle caramel sweetness."
63,Tickety Brew,Vale Brewery,Q98072911,4.0%,Amber,,,"A classic amber ale with smooth caramel malt, earthy Fuggles and Goldings hops, and a well-balanced, refreshing bitter finish."
64,Titan,LHG,,3.8%,Pale Ale,y,,Full-flavoured golden ale delivering citrus hop character and a balanced finish.
65,Tobi,Woodshedding,,5.3%,IPA,,,Refreshing pale ale delivering bright hop aroma and easy-drinking balance.
66,Trident,Mad Squirrel,Q98074829,3.4%,Pale,,,"Hopped with Talus, Mosiac and Cryopop; unveils a sea of citrus and tropical flavours."
67,Triple Goat IPA,Hornes Brewery,Q97666414,5.0%,IPA,,y,"IPA with citrus characteristics. Well balanced malts, American Cascade and Summit hops."
68,Triple Goat Pale,Hornes Brewery,Q97666414,3.9%,Pale,,y,"Brewed with malted pale barley, Chinook and Southern Cross whole flower hops, brewers yeast and pure water."
69,Twice As Precious,Cloudwater,Q104869040,4.2%,Bitter,y,,"Velvety smooth bitter with biscuit malt, fruity resin notes and a soft pine finish."
70,West Coast,Red Willow,,5.2%,West Coast Pale Ale,,,"Crisp, classic West Coast IPA with citrus, pine and a clean bitter finish."
71,Wharf View,Brew York,Q125758709,3.8%,Chocolate Porter,,,"Layers of smooth chocolate, roasted malt and gentle coffee notes."
72,Wychert,Vale Brewery,Q98072911,3.9%,Bitter,,,"A traditional amber bitter with rich malt sweetness, gentle hop bitterness and a smooth, easy-drinking finish."
C1,Abrahalls AD,Celtic Marches,,6.5%,Traditional / Dry Cider,,,
C2,Alice,Celtic Marches,,4.6%,Medium Cider,,,
C3,Apples & Pears,Lilley's,,4.0%,Fruit Cider / Perry Blend,,,
C4,Black Cherry,SeaCider,,4.0%,Fruit Cider,,,
C5,Black Dragon,Gwynt y Ddraig,,7.2%,Traditional Medium Dry,,,
C6,Blood Orange,SeaCider,,4.0%,Fruit Cider,,,
C7,Devon Red,Sandford Orchards,,4.5%,Medium Cider,,,
C8,Devon Scrumpy,Sandford Orchards,,6.0%,Scrumpy,,,
C9,Gladiator,Lilley's,,8.5%,Premium Strong Cider,,,
C10,Happy Daze,Gwynt y Ddraig,,4.5%,Cloudy Medium Cider,,,
C11,High Diver,Kentish Pip,,4.8%,Modern Craft / Session Cider,,,
C12,Old Rosie,Westons,,6.8%,Cloudy Scrumpy,,,
C13,Peach,Lilley's,,4.0%,Fruit Cider,,,
C14,Pilot,Ascension,,4.8%,Modern Craft Cider,,,
C15,Rhubarb,Pulp,,4.0%,Fruit Cider,,,
C16,Traditional,Thistly Cross,,4.4%,Traditional Cider,,,
C17,Tropical,Lilley's,,4.0%,Fruit Cider,,,
C18,Two Trees,Gwynt y Ddraig,,4.5%,Perry,,,
C19,Vintage Reserve,Sandford Orchards,,7.4%,Vintage Cider,,,
C20,Whisky Cask,Thistly Cross,,6.7%,Whisky Cask Aged Cider,,,
A,Verdant,Benefit of Hind Legs,,6.5%,New England IPA / Hazy IPA,y,,
B,DEYA,Boost,,4.0%,Pale Ale (NZ Hopped),y,,
C,GlassHouse,Bringing Seshy Back,,3.4%,Session Pale Ale,y,,
D,The Kernel,Export Stout London 1890,,7.2%,Export Stout,y,,
E,Pollys,Floret,,4.2%,Extra Pale Ale,y,,
F,Verdant x Track,Flux,,8.0%,Double IPA,y,,
G,Beak,Laze,,5.0%,DDH Pale Ale,y,,
H,DEYA,Limonada Suica,,8.0%,Double IPA,,,
I,Vault City,Raspberry Ripple,,5.5%,Soda Sour / Fruit Sour,y,,
J,Track,Right About Now,,6.5%,New England IPA / Hazy IPA,y,,
K,Nothing Bound,River's Edge Pale Ale,,5.0%,New England / Hazy Pale Ale,y,,
L,Saint Monday,West Coast IPA,,6.0%,West Coast IPA,y,,
