beer_number,beer_name,brewer,brewery_wikidata_id,abv,beer_style,vegan,gluten_free,description
31,Golden Ale,Almasty,Q98070139,4.7%,Golden Ale,,,Challenger hops provide bitterness with Goldings giving hints of spice running alongside floral and citrus aromas.
32,Hop Kitty,XT Brewing Co.,Q39053843,3.9%,Pale Ale,,,Bursting with intense tropical and citrus flavours with toasted malt sweetness. Triple hopped.
33,I Don't Tip,Anarchy,Q98070202,6.2%,IPA,,,Citrus and orange pith with an underlying note of pine and a strong bitter finish. Vegan Friendly. DDH West Coast IPA.
34,I Remember Having One,Verdant,,3.8%,Pale Ale,,,"Verdant yeast, soft Cornish water and selected Citra hops make this a smooth, big bodied and zesty little beer."
35,Jaipur DDH,Thornbridge,Q7796317,5.9%,IPA,,,The 15th Anniversary of Jaipur. DDH Jaipur  is double dry hopped creating an even punchier tropical fruit character.
36,Karate Kiwi,Vocation x Overtone,,5.5%,Pale Ale,,,"NZ hops - Motueka, Rakau & Wai-iti. Citrus, punchy ripe stonefruit. Refreshing, hoppy with a soft bitter finish."
37,Lazarus,Odyssey,,5.0%,Pale Ale,,,"Extra pale, Golden Promise and Oats. Ekuanot, Azacca and Cryo Azacca. Full-bodied mango sherbet and citrus."
38,London Porter,Mad Squirrel,Q98074829,5.0%,Porter,,,"Notes of coffee, chocolate and smoke. Like its namesake, there is more to discover in London Porters unlit complexity."
39,Made North,Thornbridge,Q7796317,3.8%,Bitter,,,"Bright golden colour. Bracingly bitter and dry, light malt aromas and flavours of earthy, floral English hops."
40,Manchester Bitter,Marble,,4.2%,Bitter,,,"Speciality malt gives the deep golden coloured robust base, balanced by crisp bitterness and a floral, lemony aroma."
41,Maris the Otter,Brew York,,3.9%,Bitter,,,3 varieties of new world hops and a malt backbone of 5 different malts. A complex modern take on English Bitter.
42,Melba,Thornbridge,Q7796317,5.2%,Peach IPA,,,Melba pours a light gold in colour and it’s peachy character is complemented by the use of highly aromatic US hops.
43,Milk Stout,Bristol Beer Factory,Q107716330,4.5%,Milk Stout,,,Multi award-winning; Smooth chocolatey sweetness and balancing bitterness with hints of dark fruits.
44,Mosaic,Arbor,Q97665078,4.0%,GF Pale Ale,,,Heavily hopped Mosaic Pale Ale with bold floral and tropical fruit flavours and aromas – Naturally Gluten Free.
45,Mr Squirrel,Mad Squirrel,Q98074829,4.0%,Premium Bitter,,,"An old school bitter for the 21st century,  with vintage notes of toffee, vanilla, and nuts."
46,Northern Monkey,Tring X ACBF,,5.1%,Best Bitter,,,Brewed with oats for mouthfeel and three types of malt for flavour and colour. Hopped with Boadicea and a gentle dry hop with Challenger.
47,OPA,Oakham,Q7073885,4.0%,Pale Ale,,,"Light gold in colour, with bold fruity hop notes balanced perfectly with a refreshing dry finish. Exclusive to Dayla."
48,Other Worlds,Burnt Mill,,4.4%,Bitter,,,"Golden Promise, Crystal, Amber and buckwheat with puffed brown rice to achieve a nutty maltiness. El Dorado and Cascade give a rounded stone fruit and orange aroma to compliment the malt backbone."
49,Pale,Left Handed Giant,,4.0%,Pale Ale,,,"Golden Promise malt and lightly hopped with Amarillo, Celeia, Citra and Mosaic for a rounded fruity finish."
50,Pride and Joy,Vocation,Q107717907,5.3%,American Pale Ale,,,"Expect bold notes of citrus, blueberry, tropical fruits and earthy pine, layered over a balanced malty base."
51,Quiet Time,Track,,5.2%,Pale Ale,,,"Mosaic heavy dry hop with Simcoe and Columbus. Fresh OJ and pineapple, pithy pink grapefruit and lemon verbena. "
52,Railway Porter,Five Points,Q98071243,4.8%,Porter,,,"A classic London style porter. Smooth and full-bodied, bursting with aromas of dark chocolate, and roasted coffee."
53,Raven King,Tring Brewery Co.,Q7842351,5.5%,IPA,,,"Tropical fruits from Citra and Mosaic, dry-hopped for extra aroma. Brewed using wheat for a full-bodied, hazy finish."
54,Red Lady,Redcastle,,4.0%,Ruby Ale,,,"Aroma has notes of toffee and fruits . Light & sweet caramel and dried fruit flavours. Smooth, light, sweet finish."
55,Resurface,Bristol Beer Factory,Q107716330,5.0%,IPA,,,"White grape and gooseberry, lemon and stone fruits. Aussie hop Ella adds a tropical finish."
56,Sabro,Salt,,4.5%,Hazy IPA,,,"Leading with Sabro hops, this Vermont style ale is a full-tilt fruit hit of tangerine, coconut, tropical fruit, and stone fruit."
57,Sapling,Mad Squirrel,Q98074829,4.8%,Session IPA,,,With bold flavours of pine and citrus with a bitter finish. A session-able brew designed for cask and brewed for cask.
58,Sky Wave,Popes Yard,Q98222617,4.0%,American Pale Ale,,,"Refreshing, lightly hopped Pale Ale with aromas and flavours of peach, passionfruit and pear. Hints of caramel combine with a biscuity sweetness from the Maris Otter malt and a good bitter finish. Dry-hopped with Galaxy and El Dorado"
59,Sonoma,Track,,3.8%,Pale Ale,,,"Heavily late hooped with Centennial, Citra and Mosaic hops. A taste of sunshine with late citrus fruit aroma and finish."
60,Stronghold,Arundel,,4.7%,Best Bitter,,,"Smooth, full-flavoured premium bitter. Balanced malt, fruit and hops come through in this rich, chestnut-coloured beer."
61,Sun Spot,Popes Yard,Q98222617,4.0%,Pale Ale,,,"Sun spot is 4% ABV, a summery session pale ale with citrus and tropical notes, but fairly malty too!"
62,Sunrise,Gower,,4.0%,Blonde,,,"A light straw coloured, easy drinking beer, infused with refreshing lemon and sun-ripened flavours and aromas."
63,Talus in Wonderland,Arbor,,4.8%,Pale Ale,,,"American Pale Ale featuring Yakima Chief’s new hop Talus, accompanied by Idaho 7 and Azacca."
64,Three,XT Brewing Co.,Q39053843,4.2%,Golden Ale,,,"An American style IPA – packed with Chinook, Columbus and Cascade hops that offer a crisp, clean and refreshing with a lasting hoppy bite."
65,Tonkoko,Brew York,,4.3%,Milk Stout,,,"Tonka, coconut, vanilla and cacao nibs combine to make this silky smooth and indulgent milk stout."
66,Tri-Hop,Mad Squirrel,Q98074829,4.0%,GF Pale Ale,,,"Naturally Gluten free Pale Ale brewed with Mosaic, Vic Secret and Motueka hops."
67,Unlocked,Hornes,Q97666414,4.3%,IPA,,,"Unlocked Hornes IPA is a citrusy refreshing session IPA, packed full of Citra and Simcoe hops."
68,US Pale,Left Handed Giant,,4.2%,Pale Ale,,,"With enticing, clean, bright aromas of pine, grapefruit and orange peel, from a blend of Cascade, Chinook, Centennial and Idaho 7 hops. Layered on a simple malt base with balanced bitterness for a refreshing finish."
69,Vale Best,Vale,Q98072911,3.7%,Bitter,,,A light copper ale that packs far more flavour than its ABV would suggest. A three hop blend with dry Planet malt.
70,Waimea,Hornes,Q97666414,4.1%,Pale Ale,,,Pale Ale brewed using only New Zealand hops.
71,Win-Win,Paradigm,Q98075011,4.2%,Best Bitter,,,"Well-balanced best bitter with depth of character. English hops provide subtle bitterness and US hops, the aroma."
72,Yulu,Siren,,3.6%,Pale Ale,,,"Brewed with Earl Grey tea and lemon zest. Distinct peach and apricot aromas,  zesty bergamot flavours."
